domain,count
duckdns.org,0.09043800307632573
000webhostapp.com,0.06794050445768558
appspot.com,0.05559413407404089
qwo231sdx.club,0.024356734315965533
weebly.com,0.018913429804518912
web.app,0.015773636187148127
glitch.me,0.014000268805161059
repl.co,0.008892970745038305
netlify.app,0.008695100279258695
ddns.net,0.008183623792243478
swtest.ru,0.007944685871302062
firebaseapp.com,0.007784149455669549
co.vu,0.00699640099756582
workers.dev,0.006955333542404014
plesk.page,0.006903065872198079
tmweb.ru,0.006690261786359631
wusps.xyz,0.0064214566253005395
blogspot.com,0.00612651762913848
appdomain.cloud,0.005741976912623389
xsph.ru,0.00515209892029927
ewp.live,0.005043830174872691
yolasite.com,0.004995295909681466
webcindario.com,0.004487552827680958
trycloudflare.com,0.004390484297298508
azurewebsites.net,0.004360617057180831
justns.ru,0.004237414691695414
we9ixzz.co,0.004069411466033481
amazonaws.com,0.0038155399250332273
wsipv6.com,0.00340113196840046
github.io,0.0031845944775473023
beget.tech,0.003165927452473754
herokuapp.com,0.0031323268073413678
weeblysite.com,0.003102459567223691
5q5e5o.cn,0.002994190821797112
liusanjie.cc,0.0029008556964293716
fleek.co,0.002661917775487956
windows.net,0.0025499156250466675
easywp.com,0.0024453802846347984
krakentxy.com,0.002284843869002285
godaddysites.com,0.0022587100338993175
se.ke,0.0022512432238698983
53244ds.xyz,0.002176575123575706
usrfiles.com,0.0021019070232815135
ic0.app,0.002098173618266804
square.site,0.0020421725430461598
kylelierman.com,0.0020272389229873213
pantheonsite.io,0.0018704359123695175
serveirc.com,0.0018517688872959695
wixsite.com,0.0018181682421635828
umbler.net,0.0016949658766781655
wcnv20.cn,0.0016912324716634559
bero-webspace.de,0.0016762988516046174
e8273.pro,0.0015605632961486194
filesusr.com,0.0015493630811044905
myjino.ru,0.0015120290309573944
hopto.org,0.0015082956259426848
regruhosting.ru,0.0015008288159132656
pages.dev,0.0014858951958544272
amplifyapp.com,0.001467228170780879
cprapid.com,0.001467228170780879
runcloud.link,0.001418693905589654
gencmert.com,0.0013925600704866867
preview-domain.com,0.0013850932604572675
sytes.net,0.0013738930454131387
kahulasup.ch,0.0013552260203395904
zzux.com,0.0012954915401042367
kamat.ae,0.0012320236548541731
atwebpages.com,0.001194689604707077
brizy.site,0.001194689604707077
novitium.ca,0.0011610889595746905
esy.es,0.0011200215044128846
app.link,0.0011050878843540462
voag.cn,0.0010826874542657885
wikaba.com,0.0010602870241775309
cu.ma,0.0010453534041186925
dweb.link,0.001030419784059854
myvnc.com,0.0010192195690157252
otzo.com,0.0009781521138539193
backblazeb2.com,0.0009781521138539193
selcdn.ru,0.0009408180637068232
kayaclinic.ir,0.0009258844436479848
dynamic-dns.net,0.0009109508235891462
webspace.re,0.0008922837985155982
digitaloceanspaces.com,0.0008586831533832116
qepfmq.shop,0.0008512163433537924
zyns.com,0.0008362827232949539
5gbfree.com,0.0008362827232949539
page.link,0.0008288159132655347
isiolo.go.ke,0.0008176156982214059
ngrok.io,0.0008138822932066963
servehttp.com,0.0008138822932066963
fiducia.ma,0.0007952152681331481
sangekasra.ir,0.0007653480280154712
siasky.net,0.0007653480280154712
nftstorage.link,0.0007504144079566328
vercel.app,0.0007354807878977943
dd-dns.de,0.000728013977868375
easy.co,0.0007242805728536654
bid-digital.com,0.0007018801427654078
88live.tv,0.0007018801427654078
chlc3.com,0.0006832131176918597
webflow.io,0.00067947971267715
dns05.com,0.00067947971267715
serveftp.com,0.0006682794976330212
ru.com,0.0006570792825888924
redirectme.net,0.0006496124725594731
pagedemo.co,0.0006458790675447635
myportfolio.com,0.0006458790675447635
temporary.link,0.0006458790675447635
altervista.org,0.0006384122575153443
csb.app,0.0006346788525006347
001www.com,0.0006309454474859251
net.ru,0.0006048116123829577
jimdofree.com,0.0006010782073682481
areu.ir,0.0005973448023535385
gb.net,0.0005936113973388289
atozgroup.ir,0.0005861445873094097
zapto.org,0.0005749443722652809
xxuz.com,0.000563744157221152
theorphic.ae,0.0005488105371623135
dns.army,0.0005450771321476039
webwave.dev,0.0005376103221181847
mrbonus.com,0.0005301435120887654
org.ru,0.0005264101070740558
bestweb.si,0.0005189432970446366
unitedaccounting.ca,0.000515209892029927
dnset.com,0.0005040096769857981
codns.com,0.0005002762719710885
itsaol.com,0.0005002762719710885
moonfruit.com,0.0004965428669563789
yi.org,0.0004965428669563789
mirzaenterprises.pk,0.0004965428669563789
serveuser.com,0.0004928094619416692
workpoint.pe,0.0004928094619416692
3utilities.com,0.0004816092468975404
forumz.info,0.0004816092468975404
pytsoluciones.com,0.0004816092468975404
smarttechno.hr,0.0004778758418828308
ytyukai.cn,0.0004741424368681212
softlayer.net,0.0004741424368681212
tonohost.com,0.0004704090318534116
xdk8ax.cn,0.0004704090318534116
safimmo.com,0.000466675626838702
cloudns.ph,0.0004629422218239924
surge.sh,0.0004592088168092827
gdkc9q.cn,0.0004554754117945731
ocry.com,0.0004517420067798635
monitorminor.com.tr,0.0004480086017651539
nxcli.net,0.00043680838672102506
ezua.com,0.00043307498170631545
ferozo.com,0.0004293415766916058
flywheelsites.com,0.0004256081716768962
x24hr.com,0.0004256081716768962
pe.hu,0.00042187476666218657
ondigitalocean.app,0.00041814136164747696
polkuverkosto.fi,0.00041814136164747696
hol.es,0.00041440795663276735
servebeer.com,0.00041440795663276735
w3s.link,0.00041067455161805774
mrubens.mx,0.00040694114660334813
f3322.net,0.00040694114660334813
gotdns.ch,0.00040694114660334813
ntc.ps,0.00040694114660334813
tripod.com,0.00040694114660334813
wcomhost.com,0.0004032077415886385
dynvpn.de,0.0004032077415886385
usa.cc,0.00039574093155921925
secureserver.net,0.00039574093155921925
bostan-city.ir,0.00039574093155921925
4dq.com,0.00039200752654450964
jkub.com,0.00039200752654450964
kranti-india.org,0.00039200752654450964
adminbuddy.co.uk,0.00038827412152980003
velocityhub.com,0.00038827412152980003
amcoelektro.ba,0.00038827412152980003
feltna.si,0.00038827412152980003
zap-webspace.com,0.0003845407165150904
youdeh.co.za,0.0003845407165150904
liftcentr.uz,0.0003845407165150904
callboard.co,0.0003845407165150904
azurefd.net,0.0003770739064856712
afristream.tv,0.0003770739064856712
dynv6.net,0.0003770739064856712
diskstation.eu,0.0003770739064856712
typeform.com,0.0003733405014709616
dynadot.com,0.00036960709645625194
2waky.com,0.0003621402864268327
giize.com,0.0003621402864268327
in.net,0.0003621402864268327
uz-domain.uz,0.0003621402864268327
25u.com,0.0003584068814121231
sslblindado.com,0.0003584068814121231
dvrlists.com,0.0003584068814121231
psychogenesis.gr,0.0003546734763974135
